GENERAL_ID,Risk_category,registration_number,Lat,Lon,County,Address,Post_code,Locality,Year Built,Height Regime,Apartment count,Surface,Examination Year,Certified expert,Observations,Cadastre Number,Land Registry Number,Administration Update,Admin Update
1,Rs I,1,44.436402,26.099322,București,Strada ACADEMIEI,15,Sector,1890,S+P+3E,10,675,1995,Mircea IEREMIA,,,,07.04.2016,03.05.2016
2,Rs I,2,44.436651,26.099306,București,"Strada ACADEMIEI (corp A+B, Hotel ""MUNTENIA"")",19(21,Sector,1935,S+P+Mz+5E S+P+4E,0,1074,2005,Ion NEGESCU,încadrare în clasă de risc seismic în anul 2005,,,07.04.2016,03.05.2016
3,Rs I,3,44.43425,26.097588,București,Strada ALEXANDRU BELDIMAN,1,Sector,1940,S+P+9E,82,9062,1993,Radu DIAMANDOPOL,,,,07.04.2016,03.05.2016
4,Rs I,4,44.445136,26.100066,București,Piata ALEXANDRU LAHOVARI,5A,Sector,1935,P+7E,18,2955,1997,Stelian PICULESCU,,,,07.04.2016,03.05.2016
5,Rs I,5,44.443122,26.102327,București,Strada ALEXANDRU XENOPOL,3,Sector,1940,S+P+8E,37,4259,1994,Gabriel NICULESCU,,,,07.04.2016,03.05.2016
6,Rs I,6,44.441491,26.099856,București,Strada ANASTASIE SIMU Bulevardul GHEORGHE MAGHERU,6 5,Sector,1935,S+P+7E,32,57,1993,Valentin GEORGESCU,,,,07.04.2016,03.05.2016
7,Rs I,7,44.43783,26.109912,București,Strada ARCULUI,4,Sector,1932,S+P+7E,26,929,2000,Niculae NEER,,,,07.04.2016,03.05.2016
8,Rs I,8,44.438282,26.111526,București,Strada ARMENEASCA,17A,Sector,1932,S+P+3E+Ma,11,1438,1995,Armand NEFIAN,,,,07.04.2016,03.05.2016
9,Rs I,9,44.436256,26.109529,București,Strada ARMENEASCA Strada ARMENEASCA Strada SEMILUNEI,28 28A 8,Sector,1935,P+5E+Ma P+5E P+5E,20,3945,1999,Mariana STOENESCU Dinu CIOBOTARIU Dinu CIOBOTARIU,,,,07.04.2016,03.05.2016
10,Rs I,10,44.447153,26.105957,București,Strada AUREL VLAICU,55,Sector,1940,S+P+4E,11,990,1993,Dan STANCIULESCU,,,,07.04.2016,03.05.2016
11,Rs I,11,44.430426,26.105773,București,Strada BAIA DE FIER,6,Sector,1930,S+P+2E+Pod,11,971,1993,Laurentju SPOIALA,,,,07.04.2016,03.05.2016
12,Rs I,12,44.437664,26.101979,București,Strada BATISTE,5,Sector,1933,2S+P+10E,26,3065,1993,Emilian TITARU,,,,07.04.2016,03.05.2016
13,Rs I,13,44.432986,26.103612,București,Strada BĂNIEI  (fosta Strada SFÂNTUL GHEORGHE NOU),1,Sector,1935,S+P+5E+Ma,10,1908,2014,Niculae TEODOR,încadrare în clasă de risc seismic în anul 2014,,,07.04.2016,03.05.2016
14,Rs I,14,44.430846,26.104051,București,Strada BARATIEI,29,Sector,1910,S+P+2E+Ma,3,154,1993,Laurentiu SPOIALA,,,,07.04.2016,03.05.2016
15,Rs I,15,44.430405,26.104705,București,Strada BARATIEI,37,Sector,1900,S+P+1 E+Ma,5,2322,1993,Mircea CONDRUT,,,,07.04.2016,03.05.2016
16,Rs I,16,44.430314,26.104841,București,Strada BARATIEI,39,Sector,1870,S+P+1E,2,459,1993,Mircea CONDRUT,,,,07.04.2016,03.05.2016
17,Rs I,17,44.430223,26.104977,București,Strada BARATIEI,41,Sector,1885,S+P+1E,3,666,1993,Ion LUNGU,,,,07.04.2016,03.05.2016
18,Rs I,18,44.430039,26.10519,București,Strada BARATIEI,42B,Sector,1920,S+P+2E+Pod,1,266,1993,Laurentiu SPOIALA,,,,07.04.2016,03.05.2016
19,Rs I,19,44.444536,26.093199,București,Strada BISERICA AMZEI,8,Sector,1935,P+4E+Ma,20,2081,1997,Iorgu NICULA,,,,07.04.2016,03.05.2016
20,Rs I,20,44.436164,26.10133,București,Strada BISERICA ENEI,14,Sector,1936,S+P+5E,26,2849,1993,Eugeniu IORDACHESCU,,,,07.04.2016,03.05.2016
21,Rs I,21,44.432742,26.102927,București,Strada BLANARI,2,Sector,1865,S+P+2E+Ma,0,758,2012,Mihai URSĂCHESCU,,,,07.04.2016,03.05.2016
22,Rs I,22,44.432498,26.102116,București,Strada BLANARI Strada BACANI,3 3(5,Sector,1883,S+P+Mz+2E+Ma,28,3005,1993,Stelian PICULESCU,,,,07.04.2016,03.05.2016
23,Rs I,23,44.432689,26.102755,București,Strada BLANARI,8,Sector,1884,S+P+2E+Ma,0,338,1993,Armand NEFIAN,,,,07.04.2016,03.05.2016
24,Rs I,24,44.43245,26.101978,București,Strada BLANARI,9,Sector,1880,S+P+2E+Pod,3,424,1993,Laurentiu SPOIALA,,,,07.04.2016,03.05.2016
25,Rs I,25,44.432673,26.102681,București,Strada BLANARI,10,Sector,1875,S+P+2E,1,764,2012,Mihai URSĂCHESCU,,,,07.04.2016,03.05.2016
26,Rs I,26,44.432198,26.101879,București,Strada BLANARI,11,Sector,1947,S+P+8E,14,238,1994,Dan STANCIULESCU,,,,07.04.2016,03.05.2016
